sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_time_s,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
1220,cone,11.097581247875176,36354.79202229362,216.65,0.008510313706166478,1.4215474148823518e-05,3274.586938111508,11.231172922557278,0.04714799886415134,30.24475612338946,6.005725237483842,8.74334507536119,914.5281893908007,4.221224045191787,1249.560390773008,113.3132748736696,0.0007523314317439693,False,,,,,,,,
1221,cone,7.78307199146473,99127.65018704996,216.65,1.084894684965608e-06,1.4215474148823518e-05,2296.5676314838183,10.492342255760576,0.03071703061054148,34.44947586109403,6.380070642505765,0.4047304696918664,325.4334278531496,1.502115983628662,1816.7612491427988,127.8794758509664,0.0008627889315596626,False,,,,,,,,
1222,cone,10.663713978426738,77563.31178883187,216.65,2.3620209702558138e-05,1.4215474148823518e-05,3146.5647987212706,5.078008481440093,0.049354256180041724,47.835099789828696,4.250663033945888,9.986909241067751,821.600670522659,3.7922948097053264,1048.56384428618,56.7627240384284,0.00047400722380464753,True,79.0,36080.75992734265,0.918000813277002,7.501428008063483,866354.9572576405,2.7634625506717514e-05,834279.7656,1668559.531
1223,cone,6.594348623064265,82124.16219171397,216.65,1.2311732029975471e-05,1.4215474148823518e-05,1945.8084950334878,9.03264722981803,0.04247477088729704,41.83576866183847,6.650573096822632,6.053279599988816,863.5775441554842,3.9860491306507466,1270.2230010855017,138.95302796421066,0.00016578572933817983,True,191.0,24937.96027006179,0.30261380049890585,7.637671209763854,834583.3051695052,2.8158362397641054e-05,834279.7656,1668559.531
1224,cone,11.50905816675376,80624.3230313125,216.65,1.525359737310255e-05,1.4215474148823518e-05,3396.002309064721,14.236573198446774,0.018459511854460837,14.612339840559065,3.707416627458878,5.813745555850907,457.34447793729095,2.1109830507144745,1206.9276677287053,43.180996400539996,0.0007093104355307293,True,66.0,37457.038570810204,1.4032154176124045,8.275535534543469,838868.8271770694,2.0862887546696976e-05,834279.7656,1668559.531
1225,cone,9.749566614969496,51968.91469160805,216.65,0.0009145618803982387,1.4215474148823518e-05,2876.8253889323755,8.779104969454856,0.04380271774553815,14.024695067790464,2.1659006015348163,4.360701825233254,889.2216534909307,4.104415663470716,760.3481897769898,14.737605143122211,0.000595834508782079,True,53.0,31337.251023827317,1.1232128001986608,7.821312676650056,870746.8220523742,2.892670208336194e-05,834279.7656,1668559.531
1226,cone,8.09591024066844,94608.58322197219,216.65,2.068996925429455e-06,1.4215474148823518e-05,2388.8774800627853,5.322080717643717,0.045990922807936804,38.72884818100473,3.6078209731749293,0.5175395596440661,431.4937510782479,1.9916628251938513,1826.959562545844,40.89213919973978,0.0002701354290995862,True,320.0,6346.583156502788,0.16364141136060523,9.72269020804616,835345.5422277654,2.0268711314327633e-05,834279.7656,1668559.531
1227,cone,5.152286761915424,99705.35289907268,216.65,9.989545057834476e-07,1.4215474148823518e-05,1520.296229883737,5.673752392914664,0.016925138017383125,12.726645609903954,1.2644001248691956,1.930780709572241,590.5158046544908,2.725667226653546,639.9489345439747,5.02248828943425,0.0007634327550882264,True,88.0,33797.65199796529,3.462812364064077,8.145725188352696,905249.470388206,2.6724996058412776e-05,834279.7656,1668559.531
1228,cone,5.487823909994492,35276.2405141393,216.65,0.009927985546054102,1.4215474148823518e-05,1619.3038909054821,10.184223452373764,0.03316354116525219,33.36383263457312,5.9936172317017515,3.125238399664337,753.9868937394972,3.480207217814434,210.71800117168982,112.85683882092852,0.00030916588113924493,False,,,,,,,,
1229,cone,7.561574076582241,95087.63565231995,216.65,1.9321393321236897e-06,1.4215474148823518e-05,2231.2097699198844,11.759685399346294,0.012256306164314834,6.667844561777356,1.3880896162777296,5.383993628615712,354.46060494518656,1.6360978765067462,955.0719592414149,6.053198051491035,0.0003490945331950446,True,64.0,40863.03664149103,6.139270831360788,8.674923028561777,1460563.0879260926,2.984516245377934e-05,1336682.2432517414,2673364.486503483
1230,cone,6.455337974859864,25087.58743166982,216.65,0.042558494079992404,1.4215474148823518e-05,1904.790326956935,8.035250669804467,0.021861099183172427,6.293359922212701,0.8884228040931147,3.6648744859399986,718.8705189161656,3.3181191733956408,1761.6571334372918,2.4796436211753017,0.0005340303877342452,False,,,,,,,,
1231,cone,10.474144323926167,92481.23802896708,216.65,2.803785221029502e-06,1.4215474148823518e-05,3090.628076959604,7.04629750965783,0.021854685216702655,2.573660745995373,0.3181169982207873,0.853563514150945,707.7177400933015,3.266640849726755,1981.1573922538087,0.31792422714314594,0.00017405020702778196,False,,,,,,,,
1232,cone,5.3359793210757775,34066.534253813086,216.65,0.011800864270721516,1.4215474148823518e-05,1574.4987846043828,5.955454123016444,0.013806100493076123,21.005446416164443,2.191251168113669,1.143857633767259,756.7130634864099,3.4927905076686354,1505.8022625647907,15.084613737027029,0.0002363863025725322,True,61.0,20016.90399853062,0.7512446102321719,8.296134107329385,843952.8610744703,2.638428253490386e-05,834279.7656,1668559.531
1233,cone,9.699258693466039,75446.06946936078,216.65,3.1962581082128795e-05,1.4215474148823518e-05,2861.9809233718915,7.357265359450704,0.03169439136732126,7.723732532249186,0.9972802778895931,3.614842716089972,528.861818237394,2.441088475593787,315.342988192785,3.124527373596197,0.0009975026973904461,True,49.0,36671.671838571005,3.9400279022239344,7.8545192783112725,1282975.5177291497,2.6643066928600773e-05,919073.1552953725,1838146.3109187784
1234,cone,10.9807861651176,31156.145324038556,216.65,0.017884646711616242,1.4215474148823518e-05,3240.123964253413,9.893600933752554,0.04100404854806189,3.3811891009246913,0.5897228425060118,2.1975119540352135,782.4496605575765,3.6115839397995684,924.2006837607452,1.092561199222596,0.0006167554170074089,False,,,,,,,,
1235,cone,4.8146170309503455,49736.96341250997,216.65,0.0012580212312388443,1.4215474148823518e-05,1420.6593030871356,5.358478384575892,0.005363922405049037,9.299316384987852,0.8722453451134602,0.37371770388946074,1163.3639842715734,5.369785295506916,925.2202795935708,2.39016120797709,0.0004955575180826038,True,115.0,7864.9231886475845,0.5859881672768087,7.551324594914542,1079125.4774889585,3.3416307552068136e-05,834279.7656,1668559.531
1236,cone,10.309894162813752,66550.8348772978,216.65,0.00011389918058543708,1.4215474148823518e-05,3042.162432045817,10.419301091877024,0.030168421565424475,13.874276395990767,2.5512377541721825,2.505294100695917,874.4735465853748,4.036342241335679,934.7555684503166,20.448042492011577,0.0009376712317659894,True,101.0,24459.308734638176,0.7014278146759378,8.031392226677124,848209.5038063409,2.845985737504715e-05,834279.7656,1668559.531
1237,cone,9.709632222251152,57163.99303885932,216.65,0.00043541129135733027,1.4215474148823518e-05,2865.0418626074893,10.581659924669422,0.013114567375650966,4.8507992884898625,0.9061954118569595,0.9852649322126614,1021.4741070978464,4.714858560340856,557.8621922815488,2.579844862237339,0.0003410643512980838,True,101.0,14013.165993176406,0.6988042214734843,7.548562857613888,1487162.743726016,3.0912494987335325e-05,834279.7656,1668559.531
1238,cone,11.459517920394168,67621.64411183898,216.65,9.77429358248883e-05,1.4215474148823518e-05,3381.384363044185,7.545862297593679,0.010459333189449273,37.589514719861974,4.979366688571927,0.1814240882050088,715.1983266699676,3.3011692899606166,1952.53108561131,77.89293922509138,0.00015101596648336735,False,,,,,,,,
1239,cone,10.14896777152088,35849.042685682245,216.65,0.009147939936394326,1.4215474148823518e-05,2994.677538972747,8.526954441427417,0.018594248930574587,32.682056651886136,4.900085679896195,9.768829770975145,945.6757913441163,4.364993267224169,1454.3552411401595,75.43227751481149,0.00018430136582200577,True,25.0,31556.645197328206,0.6851042180358756,7.715580497274516,1124457.7711596182,2.966311460848777e-05,834279.7656,1668559.531
1240,cone,8.21744165553799,27259.5085441965,216.65,0.03120583249546961,1.4215474148823518e-05,2424.738013526168,14.739950576492308,0.03583713697417818,42.484355631394855,11.177229684233852,6.969897204408939,1197.584032127821,5.5277361279844035,1169.8109978522352,392.48062607136274,0.0006708160797545117,False,,,,,,,,
1241,cone,6.752544109456542,80813.4897537379,216.65,1.4846906856538463e-05,1.4215474148823518e-05,1992.4875741803544,6.9608023912021935,0.016998173756937164,10.017768789715419,1.2230711732339716,1.1424961219698273,296.0523225883503,1.36650045044242,1846.9547824064175,4.69951817309311,0.0004063330635748301,True,64.0,31548.55292825764,4.912475224129219,8.650329136807358,1124913.1309958994,2.489424155329356e-05,1110653.5261389888,2221307.052453027
