Row,M_inf,theta_c_deg,beta_deg,M2,P2_P1,rho2_rho1,T2_T1,status
239,11.512691,14.909913,NaN,NaN,NaN,NaN,NaN,0
240,9.310393,12.960284,NaN,NaN,NaN,NaN,NaN,0
241,8.587888,14.288461,NaN,NaN,NaN,NaN,NaN,0
242,11.457355,11.296228,NaN,NaN,NaN,NaN,NaN,0
243,8.006893,14.613223,NaN,NaN,NaN,NaN,NaN,0
244,5.257483,5.794976,15.145247,4.623007,2.034593,1.643836,1.237710,1
245,5.413271,14.648289,NaN,NaN,NaN,NaN,NaN,0
246,7.258091,13.899393,NaN,NaN,NaN,NaN,NaN,0
247,5.921976,5.293837,13.522069,5.214331,2.070215,1.663064,1.244819,1
248,7.839540,11.965269,NaN,NaN,NaN,NaN,NaN,0
249,5.491318,10.415223,18.796231,4.277839,3.485581,2.310189,1.508786,1
250,11.686163,14.549990,NaN,NaN,NaN,NaN,NaN,0
251,6.495999,13.932954,NaN,NaN,NaN,NaN,NaN,0
252,9.386509,8.682056,NaN,NaN,NaN,NaN,NaN,0
253,9.387183,7.199876,11.887562,7.209453,4.195649,2.567163,1.634352,1
254,6.634633,6.920270,NaN,NaN,NaN,NaN,NaN,0
255,4.725219,7.885912,NaN,NaN,NaN,NaN,NaN,0
256,11.171007,11.230317,NaN,NaN,NaN,NaN,NaN,0
257,9.440332,7.132333,11.793618,7.259864,4.176715,2.560776,1.631035,1
258,4.915689,9.369584,NaN,NaN,NaN,NaN,NaN,0
259,8.422175,11.354078,NaN,NaN,NaN,NaN,NaN,0
260,10.078071,10.471928,NaN,NaN,NaN,NaN,NaN,0
261,5.265413,6.850987,NaN,NaN,NaN,NaN,NaN,0
262,9.578983,13.185215,NaN,NaN,NaN,NaN,NaN,0
263,5.329072,5.711782,14.931104,4.689558,2.032890,1.642913,1.237369,1
264,7.138931,5.829875,12.372467,6.063267,2.563062,1.912677,1.340039,1
265,5.631230,5.088880,13.852079,5.005459,1.953939,1.599665,1.221468,1
266,10.644391,5.900895,10.039258,8.377345,3.850292,2.446806,1.573599,1
267,7.922349,14.608255,NaN,NaN,NaN,NaN,NaN,0
268,9.342887,9.609905,NaN,NaN,NaN,NaN,NaN,0
269,6.610632,7.981053,14.886513,5.331276,3.198285,2.194943,1.457115,1
270,9.162554,12.393985,NaN,NaN,NaN,NaN,NaN,0
271,8.004471,8.702120,14.233915,6.046860,4.352545,2.619189,1.661791,1
272,10.999073,11.080334,NaN,NaN,NaN,NaN,NaN,0
273,5.833099,14.014091,NaN,NaN,NaN,NaN,NaN,0
274,9.201078,5.705055,10.599478,7.530573,3.175191,2.185365,1.452934,1
275,6.192355,13.184707,NaN,NaN,NaN,NaN,NaN,0
276,10.930628,14.056692,NaN,NaN,NaN,NaN,NaN,0
277,11.199580,9.707632,NaN,NaN,NaN,NaN,NaN,0
278,8.165978,12.948436,NaN,NaN,NaN,NaN,NaN,0
279,7.481552,14.791621,NaN,NaN,NaN,NaN,NaN,0
280,5.879259,8.322639,NaN,NaN,NaN,NaN,NaN,0
281,7.077959,13.072368,NaN,NaN,NaN,NaN,NaN,0
282,7.304205,13.369479,NaN,NaN,NaN,NaN,NaN,0
283,5.373460,11.936713,NaN,NaN,NaN,NaN,NaN,0
284,6.744568,8.425715,15.141769,5.346766,3.454337,2.297995,1.503196,1
285,7.117414,14.080346,NaN,NaN,NaN,NaN,NaN,0
286,10.996020,14.676909,NaN,NaN,NaN,NaN,NaN,0
287,8.605728,8.021352,13.148776,6.543421,4.304387,2.603389,1.653379,1
288,4.776507,14.058786,NaN,NaN,NaN,NaN,NaN,0
289,11.784136,12.180202,NaN,NaN,NaN,NaN,NaN,0
290,10.965666,14.770511,NaN,NaN,NaN,NaN,NaN,0
291,5.451601,11.351629,19.769918,4.145935,3.800266,2.428668,1.564753,1
292,6.152709,5.479351,13.317439,5.371698,2.176702,1.719546,1.265859,1
293,6.247034,9.834959,17.087523,4.821914,3.764244,2.415493,1.558375,1
294,9.624725,14.335827,NaN,NaN,NaN,NaN,NaN,0
295,11.372521,8.776051,NaN,NaN,NaN,NaN,NaN,0
296,8.099765,11.517211,NaN,NaN,NaN,NaN,NaN,0
297,11.511994,5.022613,8.871803,9.267052,3.510834,2.319986,1.513299,1
298,9.438239,9.343020,NaN,NaN,NaN,NaN,NaN,0
299,9.439323,13.812546,NaN,NaN,NaN,NaN,NaN,0
300,8.968462,11.094293,NaN,NaN,NaN,NaN,NaN,0
301,9.015480,8.454259,NaN,NaN,NaN,NaN,NaN,0
302,11.151332,9.057183,NaN,NaN,NaN,NaN,NaN,0
303,5.426693,5.622795,14.665671,4.777898,2.035603,1.644384,1.237912,1
304,5.006554,13.508222,NaN,NaN,NaN,NaN,NaN,0
305,8.590259,11.481135,NaN,NaN,NaN,NaN,NaN,0
306,9.483358,13.870285,NaN,NaN,NaN,NaN,NaN,0
307,8.452238,10.547680,NaN,NaN,NaN,NaN,NaN,0
308,8.717033,12.074073,NaN,NaN,NaN,NaN,NaN,0
309,8.142629,9.785425,NaN,NaN,NaN,NaN,NaN,0
310,7.254444,6.514858,12.851321,6.020004,2.870789,2.054466,1.397341,1
311,10.263705,8.835402,NaN,NaN,NaN,NaN,NaN,0
312,10.312311,13.516131,NaN,NaN,NaN,NaN,NaN,0
313,9.640923,10.127728,NaN,NaN,NaN,NaN,NaN,0
314,10.471323,6.012931,10.220786,8.232221,3.861076,2.450692,1.575505,1
315,6.575073,5.604970,12.840120,5.679574,2.324245,1.795414,1.294545,1
316,8.494262,13.298610,NaN,NaN,NaN,NaN,NaN,0
317,9.639832,10.641663,NaN,NaN,NaN,NaN,NaN,0
318,10.033353,9.417123,NaN,NaN,NaN,NaN,NaN,0
319,4.838481,5.438186,15.808121,4.316261,1.860232,1.547205,1.202318,1
320,11.543043,9.409237,NaN,NaN,NaN,NaN,NaN,0
321,7.298315,13.624179,NaN,NaN,NaN,NaN,NaN,0
322,4.678548,7.557923,NaN,NaN,NaN,NaN,NaN,0
323,7.855327,11.149132,NaN,NaN,NaN,NaN,NaN,0
324,8.779568,10.704093,NaN,NaN,NaN,NaN,NaN,0
325,6.553519,14.196683,NaN,NaN,NaN,NaN,NaN,0
326,10.303306,11.860388,NaN,NaN,NaN,NaN,NaN,0
327,5.368415,6.442203,15.457143,4.640332,2.221642,1.742943,1.274650,1
328,9.030909,10.774201,NaN,NaN,NaN,NaN,NaN,0
329,9.671589,10.380066,NaN,NaN,NaN,NaN,NaN,0
330,8.523462,9.386135,NaN,NaN,NaN,NaN,NaN,0
331,8.918019,9.328454,NaN,NaN,NaN,NaN,NaN,0
332,9.284283,12.424087,NaN,NaN,NaN,NaN,NaN,0
333,8.961084,11.251598,NaN,NaN,NaN,NaN,NaN,0
334,11.850600,10.236569,NaN,NaN,NaN,NaN,NaN,0
335,9.939334,8.326122,NaN,NaN,NaN,NaN,NaN,0
336,9.676311,13.446140,NaN,NaN,NaN,NaN,NaN,0
337,5.636424,13.556742,NaN,NaN,NaN,NaN,NaN,0
338,6.286453,9.434971,16.653443,4.903596,3.619993,2.361744,1.532763,1
339,11.797710,9.481033,NaN,NaN,NaN,NaN,NaN,0
340,5.898828,6.787944,NaN,NaN,NaN,NaN,NaN,0
341,7.397979,12.867409,NaN,NaN,NaN,NaN,NaN,0
342,6.757414,13.775757,NaN,NaN,NaN,NaN,NaN,0
343,7.646402,12.396523,NaN,NaN,NaN,NaN,NaN,0
344,4.588838,10.620760,20.953583,3.660008,2.975109,2.100326,1.416499,1
345,7.526931,13.588366,NaN,NaN,NaN,NaN,NaN,0
346,8.979896,8.998143,NaN,NaN,NaN,NaN,NaN,0
347,7.208001,10.061080,NaN,NaN,NaN,NaN,NaN,0
348,8.824130,7.861670,12.855092,6.706949,4.330055,2.611828,1.657864,1
349,5.158682,8.785940,NaN,NaN,NaN,NaN,NaN,0
350,7.544029,10.985664,NaN,NaN,NaN,NaN,NaN,0
351,9.902392,14.031024,NaN,NaN,NaN,NaN,NaN,0
352,7.847395,5.941453,11.790633,6.548819,2.833102,2.037632,1.390389,1
353,5.048144,12.599786,NaN,NaN,NaN,NaN,NaN,0
354,4.546785,6.074046,17.093438,4.018470,1.917085,1.579181,1.213974,1
355,8.868236,11.013910,NaN,NaN,NaN,NaN,NaN,0
356,9.691181,6.070217,10.654863,7.735931,3.579083,2.346205,1.525477,1
357,6.337548,8.387078,15.604195,5.088996,3.223824,2.205478,1.461735,1
358,5.208125,5.932380,15.360942,4.568815,2.053930,1.654296,1.241574,1
359,11.963283,11.919568,NaN,NaN,NaN,NaN,NaN,0
360,9.422606,8.126505,NaN,NaN,NaN,NaN,NaN,0
361,5.153258,5.109407,14.814667,4.609986,1.858912,1.546457,1.202045,1
362,7.754451,12.572429,NaN,NaN,NaN,NaN,NaN,0
363,7.451638,11.061630,NaN,NaN,NaN,NaN,NaN,0
364,11.957922,9.924285,NaN,NaN,NaN,NaN,NaN,0
365,6.921277,9.811139,16.276360,5.222448,4.223435,2.576493,1.639218,1
366,8.243629,7.863162,13.245349,6.373476,3.995456,2.498409,1.599200,1
367,11.719966,10.433303,NaN,NaN,NaN,NaN,NaN,0
368,5.832590,5.454187,13.799271,5.122488,2.091330,1.674382,1.249016,1
369,6.977228,12.020767,NaN,NaN,NaN,NaN,NaN,0
370,9.920005,11.604138,NaN,NaN,NaN,NaN,NaN,0
371,10.700378,14.912624,NaN,NaN,NaN,NaN,NaN,0
372,4.772588,13.049821,NaN,NaN,NaN,NaN,NaN,0
